tempo_1,spectral_centroid_1,spectral_bandwidth_1,zero_crossing_rate_1,mfcc_1_1,mfcc_2_1,mfcc_3_1,mfcc_4_1,mfcc_5_1,mfcc_6_1,mfcc_7_1,mfcc_8_1,mfcc_9_1,mfcc_10_1,mfcc_11_1,mfcc_12_1,mfcc_13_1,title_1,mix_1,track_index_1,tempo_2,spectral_centroid_2,spectral_bandwidth_2,zero_crossing_rate_2,mfcc_1_2,mfcc_2_2,mfcc_3_2,mfcc_4_2,mfcc_5_2,mfcc_6_2,mfcc_7_2,mfcc_8_2,mfcc_9_2,mfcc_10_2,mfcc_11_2,mfcc_12_2,mfcc_13_2,title_2,mix_2,track_index_2
117.45383522727272,2544.459090070744,2515.033694778568,0.1154181518520949,-120.46736,88.19781,17.864426,20.918127,-5.0667186,5.8278217,-6.5403256,2.1049614,-6.945925,2.460028,-9.507612,-1.1360878,-5.8613005,"id='0LdNxTP1H2U' title=""Dylan - Blackout [Droppin' Science]""",40,0,83.35433467741936,3701.715622282398,3025.6686844314327,0.1892368284227265,-31.264961,33.760044,15.194329,29.519703,5.080659,11.827594,4.2389274,6.5026636,-1.6332763,4.330669,-0.65146625,0.6987048,-0.34261537,id='_a1AJ8YdgbI' title='Scorpio - Li Li [V]',40,1
83.35433467741936,3701.715622282398,3025.6686844314327,0.1892368284227265,-31.264961,33.760044,15.194329,29.519703,5.080659,11.827594,4.2389274,6.5026636,-1.6332763,4.330669,-0.65146625,0.6987048,-0.34261537,id='_a1AJ8YdgbI' title='Scorpio - Li Li [V]',40,1,86.1328125,3099.4263969318217,2844.0985067763686,0.1373196713934742,-19.977793,58.522305,5.702592,24.339449,3.3442514,11.472853,-9.512021,3.653255,-0.74916387,3.8178291,-0.5745846,3.8343542,-3.4442458,id='OI-VJhvT1eg' title='Shimon & Andy C - Live Line [RAM]',40,10
86.1328125,3099.4263969318217,2844.0985067763686,0.1373196713934742,-19.977793,58.522305,5.702592,24.339449,3.3442514,11.472853,-9.512021,3.653255,-0.74916387,3.8178291,-0.5745846,3.8343542,-3.4442458,id='OI-VJhvT1eg' title='Shimon & Andy C - Live Line [RAM]',40,10,86.1328125,3129.3129971860985,3139.038508546627,0.103139316620005,-113.69772,56.512646,29.110952,23.002274,10.954147,15.403901,2.9610007,17.058691,-5.6359987,13.616179,0.0194958,6.47522,3.1022983,id='_DVhkq1K5Vs' title='Undercover Agent - Five Tones [Juice]',40,12
86.1328125,3129.3129971860985,3139.038508546627,0.103139316620005,-113.69772,56.512646,29.110952,23.002274,10.954147,15.403901,2.9610007,17.058691,-5.6359987,13.616179,0.0194958,6.47522,3.1022983,id='_DVhkq1K5Vs' title='Undercover Agent - Five Tones [Juice]',40,12,117.45383522727272,3459.73272413336,2953.2400150234257,0.1768001080507198,-36.73231,54.75477,-3.9207263,3.674001,-3.6913202,11.008557,3.2077887,11.264805,0.3023498,2.790818,-1.4319534,2.4294882,-2.8053987,id='6GiLTxXjz8E' title='Dillinja - Fluid [Test]',40,14
117.45383522727272,3459.73272413336,2953.2400150234257,0.1768001080507198,-36.73231,54.75477,-3.9207263,3.674001,-3.6913202,11.008557,3.2077887,11.264805,0.3023498,2.790818,-1.4319534,2.4294882,-2.8053987,id='6GiLTxXjz8E' title='Dillinja - Fluid [Test]',40,14,86.1328125,2727.5577547860357,2700.670111233449,0.1158768518433264,-100.08648,58.759132,13.463414,29.361534,15.329087,19.794582,0.7947557,15.311598,-0.59643745,4.1443896,0.05206767,6.077942,1.3324052,id='KuJwoaYSOew' title='Majistrate - Retry [Juice]',40,2
86.1328125,2727.5577547860357,2700.670111233449,0.1158768518433264,-100.08648,58.759132,13.463414,29.361534,15.329087,19.794582,0.7947557,15.311598,-0.59643745,4.1443896,0.05206767,6.077942,1.3324052,id='KuJwoaYSOew' title='Majistrate - Retry [Juice]',40,2,112.34714673913044,3440.0168282447994,2816.283539111051,0.143130780686628,-48.846176,36.64933,8.124671,35.046326,-2.427712,26.963705,5.771123,17.506418,5.580061,12.961589,4.062168,5.8195286,2.2109103,id='ghWlXFQlXiA' title='Mask - Mad Professor [Dope Dragon]',40,3
112.34714673913044,3440.0168282447994,2816.283539111051,0.143130780686628,-48.846176,36.64933,8.124671,35.046326,-2.427712,26.963705,5.771123,17.506418,5.580061,12.961589,4.062168,5.8195286,2.2109103,id='ghWlXFQlXiA' title='Mask - Mad Professor [Dope Dragon]',40,3,86.1328125,2520.5871030838653,2712.774324501675,0.098888285585898,-169.67284,67.7315,13.18255,40.830475,15.576025,14.884178,3.860292,9.2110815,5.375484,8.012285,2.3088143,2.7187166,2.302093,id='9zaQveuvWKU' title='Peshay - Miles From Home [Mo Wax]',40,4
86.1328125,2520.5871030838653,2712.774324501675,0.098888285585898,-169.67284,67.7315,13.18255,40.830475,15.576025,14.884178,3.860292,9.2110815,5.375484,8.012285,2.3088143,2.7187166,2.302093,id='9zaQveuvWKU' title='Peshay - Miles From Home [Mo Wax]',40,4,86.1328125,3104.685792155032,2970.346101610832,0.1356396643944036,-63.257374,65.15374,17.928028,25.896818,6.052049,16.732512,4.080964,5.3623915,-1.2269094,5.314378,-2.2943883,3.5265317,-4.0369663,id='XMEdORkINm4' title='Moving Fusion - Turbulence [RAM]',40,5
86.1328125,3104.685792155032,2970.346101610832,0.1356396643944036,-63.257374,65.15374,17.928028,25.896818,6.052049,16.732512,4.080964,5.3623915,-1.2269094,5.314378,-2.2943883,3.5265317,-4.0369663,id='XMEdORkINm4' title='Moving Fusion - Turbulence [RAM]',40,5,86.1328125,3130.0346227353925,2813.822287657811,0.1392005250514611,-27.249556,56.9672,-3.5977492,13.671102,7.3164515,12.17346,-2.6343596,9.186066,-1.5024108,7.5789537,0.24656408,7.763619,0.89542603,id='MGUoyksjgeo' title='Dillinja - Hard Noize [Test]',40,6
86.1328125,3130.0346227353925,2813.822287657811,0.1392005250514611,-27.249556,56.9672,-3.5977492,13.671102,7.3164515,12.17346,-2.6343596,9.186066,-1.5024108,7.5789537,0.24656408,7.763619,0.89542603,id='MGUoyksjgeo' title='Dillinja - Hard Noize [Test]',40,6,112.34714673913044,3008.170899892229,2748.298605976201,0.1540879419123977,-132.21417,60.4992,2.9215636,29.971186,2.0094624,16.663076,-3.4426084,6.231799,-1.8925933,5.479206,-0.30051914,4.9917874,-4.2446976,id='9UUK2J-dF0w' title='Known Unknown - Rollers Edit [Audio Couture]',40,7
112.34714673913044,3008.170899892229,2748.298605976201,0.1540879419123977,-132.21417,60.4992,2.9215636,29.971186,2.0094624,16.663076,-3.4426084,6.231799,-1.8925933,5.479206,-0.30051914,4.9917874,-4.2446976,id='9UUK2J-dF0w' title='Known Unknown - Rollers Edit [Audio Couture]',40,7,172.265625,2768.8747151824496,2532.7123848164897,0.1383073644264253,-88.03238,70.5283,1.2325593,41.844208,4.8061295,13.486368,2.3061464,8.331866,-2.3771672,3.6610672,0.9973674,2.8475149,-2.8303893,id='8_vdQtlEOmA' title='Mampi Swift - The 1 [Charge]',40,8
172.265625,2768.8747151824496,2532.7123848164897,0.1383073644264253,-88.03238,70.5283,1.2325593,41.844208,4.8061295,13.486368,2.3061464,8.331866,-2.3771672,3.6610672,0.9973674,2.8475149,-2.8303893,id='8_vdQtlEOmA' title='Mampi Swift - The 1 [Charge]',40,8,117.45383522727272,2769.7376370738248,2552.0564062562307,0.1556474746108143,-165.34337,69.584145,2.384042,22.294767,-4.423713,15.37979,-1.7416574,7.0869174,-3.114188,3.515693,-0.27875936,1.7807589,-3.4255474,id='BTR0gk1jvgI' title='Undercover Agent - Cosmic [Juice]',40,9
